SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:DA,2020-07-12 20:22:12.405476,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-56
1,DC:A6:32:33:B0:DA,2020-07-12 20:22:14.031850,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-50
2,DC:A6:32:33:B0:DA,2020-07-12 20:22:16.036313,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-53
3,DC:A6:32:33:B0:DA,2020-07-12 20:22:17.571932,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-59
4,DC:A6:32:33:B0:DA,2020-07-12 20:22:18.048666,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-60
5,DC:A6:32:33:B0:DA,2020-07-12 20:22:19.747535,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-50
6,DC:A6:32:33:B0:DA,2020-07-12 20:22:20.669353,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-54
7,DC:A6:32:33:B0:DA,2020-07-12 20:22:21.218723,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-56
8,DC:A6:32:33:B0:DA,2020-07-12 20:22:23.223865,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-60
9,DC:A6:32:33:B0:DA,2020-07-12 20:22:24.493153,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-56
10,DC:A6:32:33:B0:DA,2020-07-12 20:22:26.124417,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-50
11,DC:A6:32:33:B0:DA,2020-07-12 20:22:27.075178,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-60
12,DC:A6:32:33:B0:DA,2020-07-12 20:22:28.133929,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-57
13,DC:A6:32:33:B0:DA,2020-07-12 20:22:29.378333,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-39
14,DC:A6:32:33:B0:DA,2020-07-12 20:22:30.425208,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-47
15,DC:A6:32:33:B0:DA,2020-07-12 20:22:31.073895,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-44
16,DC:A6:32:33:B0:DA,2020-07-12 20:22:32.326398,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-39
17,DC:A6:32:33:B0:DA,2020-07-12 20:22:33.730272,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-51
18,DC:A6:32:33:B0:DA,2020-07-12 20:22:34.538949,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-45
19,DC:A6:32:33:B0:DA,2020-07-12 20:22:35.043329,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-46
20,DC:A6:32:33:B0:DA,2020-07-12 20:22:36.382695,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-41
21,DC:A6:32:33:B0:DA,2020-07-12 20:22:37.091480,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-48
22,DC:A6:32:33:B0:DA,2020-07-12 20:22:38.757798,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-47
23,DC:A6:32:33:B0:DA,2020-07-12 20:22:39.170229,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-47
24,DC:A6:32:33:B0:DA,2020-07-12 20:22:41.175345,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-62
25,DC:A6:32:33:B0:DA,2020-07-12 20:22:43.180318,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-68
26,DC:A6:32:33:B0:DA,2020-07-12 20:22:45.185378,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-54
27,DC:A6:32:33:B0:DA,2020-07-12 20:22:46.012941,e83bd594-c49d-11ea-b849-dca63233b0d9,1,1,1,-50
