SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:B0:DA,2020-07-11 20:30:44.937172,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-34
1,DC:A6:32:33:B0:DA,2020-07-11 20:30:45.024194,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-31
2,DC:A6:32:33:B0:DA,2020-07-11 20:30:47.028342,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-37
3,DC:A6:32:33:B0:DA,2020-07-11 20:30:48.122051,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-34
4,DC:A6:32:33:B0:DA,2020-07-11 20:30:50.024595,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-33
5,DC:A6:32:33:B0:DA,2020-07-11 20:30:51.634637,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-33
6,DC:A6:32:33:B0:DA,2020-07-11 20:30:52.462084,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-55
7,DC:A6:32:33:B0:DA,2020-07-11 20:30:53.013299,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-65
8,DC:A6:32:33:B0:DA,2020-07-11 20:30:54.025822,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-61
9,DC:A6:32:33:B0:DA,2020-07-11 20:30:55.547060,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-65
10,DC:A6:32:33:B0:DA,2020-07-11 20:30:56.090183,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-66
11,DC:A6:32:33:B0:DA,2020-07-11 20:30:58.095806,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-56
12,DC:A6:32:33:B0:DA,2020-07-11 20:30:59.242020,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-71
13,DC:A6:32:33:B0:DA,2020-07-11 20:31:00.467026,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-64
14,DC:A6:32:33:B0:DA,2020-07-11 20:31:01.477740,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-63
15,DC:A6:32:33:B0:DA,2020-07-11 20:31:02.254660,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-60
16,DC:A6:32:33:B0:DA,2020-07-11 20:31:03.052072,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-65
17,DC:A6:32:33:B0:DA,2020-07-11 20:31:04.218351,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-62
18,DC:A6:32:33:B0:DA,2020-07-11 20:31:05.497033,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-69
19,DC:A6:32:33:B0:DA,2020-07-11 20:31:06.026392,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-64
20,DC:A6:32:33:B0:DA,2020-07-11 20:31:07.114503,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-70
21,DC:A6:32:33:B0:DA,2020-07-11 20:31:08.200755,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-81
22,DC:A6:32:33:B0:DA,2020-07-11 20:31:09.329524,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-82
23,DC:A6:32:33:B0:DA,2020-07-11 20:31:10.067643,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-64
24,DC:A6:32:33:B0:DA,2020-07-11 20:31:11.059636,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-64
25,DC:A6:32:33:B0:DA,2020-07-11 20:31:12.082139,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-71
26,DC:A6:32:33:B0:DA,2020-07-11 20:31:13.087708,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-54
27,DC:A6:32:33:B0:DA,2020-07-11 20:31:15.092158,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-55
28,DC:A6:32:33:B0:DA,2020-07-11 20:31:16.063442,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-59
29,DC:A6:32:33:B0:DA,2020-07-11 20:31:17.245830,e234f170-c3d6-11ea-8692-dca63233b0d9,1,1,1,-52
